,Location,NewHome,FTB,Age,Income,EmpSector,Occ,HouseComp,Education,Exp:Inc,LoanValue,LTV,LoanTerm,Interest,HouseVal,MRTI,Score
0,2,1,1,24,76655,2,4,5,4,0.43799999999999994,157718,0.85,25,0.0535,185551,0.149,255.71086490000002
1,1,1,1,49,82307,3,2,2,4,0.473,200820,0.93,25,0.0535,215935,0.177,251.98654989999997
2,2,2,1,25,83372,1,4,3,6,0.515,282300,1.0,30,0.035,282300,0.182,266.4923446
3,6,1,1,32,106356,3,2,6,5,0.43799999999999994,154338,1.0,35,0.035,154338,0.07200000000000001,256.00018719999997
4,2,1,2,33,54021,7,2,1,6,0.495,208120,0.6,20,0.015,346867,0.223,221.36189109999998
5,1,2,1,54,149763,10,1,3,3,0.447,262123,0.85,35,0.035,308380,0.087,221.7530062
6,1,1,2,52,105179,11,6,1,4,0.397,107494,0.55,20,0.0535,195444,0.083,194.91832659999997
7,6,1,2,42,138763,10,1,2,4,0.41200000000000003,154355,0.93,25,0.015,165973,0.053,226.8912406
8,1,2,2,41,151002,2,2,3,6,0.4,327691,0.65,30,0.045,504140,0.132,171.11616899999999
9,2,2,2,48,111150,9,6,5,3,0.41200000000000003,333658,1.0,25,0.0535,333658,0.218,244.63067400000003
10,1,2,2,52,164455,13,1,6,6,0.355,282443,1.0,35,0.015,282443,0.063,200.88691880000002
11,2,2,2,39,68484,13,2,1,6,0.45799999999999996,155510,0.93,20,0.0535,167215,0.185,227.82468169999999
12,4,1,2,39,152507,6,1,3,4,0.364,387341,0.7,25,0.0535,553344,0.184,166.1824595
13,6,1,1,30,85369,12,3,4,6,0.447,166166,0.85,35,0.015,195489,0.07200000000000001,229.1017643
14,6,1,1,27,129447,13,2,5,4,0.395,156876,0.85,35,0.05,184560,0.073,216.42644219999997
15,1,1,2,51,76649,7,1,1,5,0.45299999999999996,150424,1.0,20,0.0535,150424,0.16,217.9427821
16,1,2,2,33,65596,10,1,5,5,0.41600000000000004,397427,0.65,30,0.015,611426,0.251,195.5254551
17,3,1,2,30,95067,11,2,3,6,0.447,239902,0.85,25,0.0535,282238,0.183,217.2016832
18,1,2,2,19,139054,8,1,5,6,0.373,314279,0.93,35,0.0535,337934,0.14300000000000002,207.48700549999998
19,6,2,2,39,104634,8,1,6,4,0.44299999999999995,101481,0.75,35,0.0535,135308,0.061,217.69619500000002
20,6,1,2,35,143083,13,1,1,6,0.40399999999999997,406347,0.93,25,0.05,436932,0.19899999999999998,235.31303909999997
21,6,1,1,29,112565,7,2,5,5,0.364,156529,0.93,35,0.0535,168311,0.08800000000000001,201.2226236
22,6,1,2,42,114346,12,3,3,1,0.48700000000000004,62748,0.7,25,0.0535,89640,0.04,214.8462849
23,1,2,2,27,50926,10,2,3,4,0.524,270083,0.6,25,0.0535,450138,0.385,216.14864989999998
24,6,2,1,27,124952,1,3,1,6,0.42,228601,0.93,40,0.0535,245808,0.111,234.77202169999998
25,6,2,2,34,184680,6,1,4,6,0.36200000000000004,276183,0.7,30,0.025,394547,0.071,143.2473198
26,6,2,2,36,113609,12,4,5,6,0.35200000000000004,293840,0.65,35,0.035,452062,0.128,211.64682889999997
27,6,2,1,40,134700,5,2,3,5,0.423,224969,1.0,35,0.015,224969,0.061,222.3878756
28,3,1,2,48,179058,10,1,5,3,0.36700000000000005,136547,0.6,25,0.015,227578,0.037000000000000005,192.1975988
29,6,2,2,34,153665,10,1,5,6,0.312,231639,0.75,30,0.025,308852,0.071,186.6812919
30,1,2,1,28,109754,3,3,1,5,0.413,166861,0.93,40,0.025,179420,0.06,237.68538990000002
31,2,2,2,27,148936,10,1,1,6,0.35200000000000004,360972,0.85,25,0.0535,424673,0.17600000000000002,202.5445614
32,6,1,2,43,172277,1,5,5,6,0.376,694416,0.45,25,0.0535,1543147,0.293,203.73493
33,6,1,1,25,85521,3,1,5,5,0.40399999999999997,134234,0.75,35,0.025,178979,0.067,237.3619272
34,6,2,1,29,116672,2,3,4,5,0.392,197409,0.975,35,0.0535,202471,0.107,212.15008230000004
35,4,2,2,34,91081,11,2,3,5,0.45899999999999996,192633,0.75,25,0.015,256844,0.10099999999999999,207.24064140000002
36,1,1,2,34,77359,10,2,5,5,0.455,415705,0.93,20,0.035,446995,0.374,241.4610849
37,1,2,2,37,146483,6,1,6,6,0.428,235351,0.65,35,0.015,362078,0.059000000000000004,192.3525561
38,6,2,2,40,150162,7,2,6,6,0.332,193422,0.65,35,0.0535,297572,0.08199999999999999,145.9696502
39,1,1,2,32,91693,12,3,3,4,0.479,386125,0.85,25,0.0535,454265,0.306,232.66787680000002
40,2,1,2,29,171895,9,1,4,6,0.375,155175,0.93,20,0.0535,166855,0.07400000000000001,131.8950684
41,2,1,2,38,60084,7,2,5,5,0.44,100291,0.7,20,0.035,143273,0.11599999999999999,221.8726489
42,6,2,2,41,192601,8,1,3,4,0.425,201428,0.65,30,0.0535,309889,0.07,173.4603183
43,1,1,2,51,92535,8,2,5,5,0.433,683670,0.975,20,0.0535,701200,0.602,249.670283
44,6,2,1,38,61779,12,3,3,6,0.523,167773,0.85,35,0.025,197380,0.11699999999999999,252.06084109999998
45,6,1,2,38,167984,10,1,1,6,0.358,416482,0.65,30,0.05,640742,0.16,176.1561885
46,1,2,1,27,97817,8,3,4,6,0.439,561204,0.7,35,0.015,801720,0.21100000000000002,211.7206347
47,6,2,2,43,156051,1,5,6,5,0.348,160806,0.93,30,0.035,172910,0.055999999999999994,218.97841839999998
48,6,2,1,27,171905,11,2,5,6,0.308,120643,0.93,35,0.035,129724,0.035,194.5495025
49,1,2,1,34,112881,5,4,5,5,0.408,348133,0.93,35,0.0535,374337,0.195,235.32489080000002
50,3,2,2,40,90209,14,2,5,5,0.452,142183,0.93,25,0.0535,152885,0.114,212.8825377
51,1,1,1,24,103318,5,2,1,6,0.401,276701,0.93,35,0.035,297528,0.133,242.11106370000002
52,3,2,2,28,163095,7,2,6,6,0.381,288205,0.65,30,0.0535,443392,0.11800000000000001,163.4203871
53,3,2,1,28,62196,12,4,1,6,0.48100000000000004,215665,0.6,30,0.0535,359442,0.23199999999999998,236.1842872
54,6,2,1,25,66672,14,4,5,6,0.452,114042,0.85,35,0.0535,134167,0.10800000000000001,249.6895184
55,1,1,2,26,152069,11,1,3,2,0.386,373808,0.975,25,0.015,383393,0.11800000000000001,201.9969039
56,1,1,2,26,137450,13,1,5,1,0.414,274956,0.93,20,0.035,295652,0.139,235.7092723
57,6,2,2,47,125503,13,6,5,4,0.374,128359,0.85,25,0.015,151011,0.049,240.14153540000004
58,2,1,2,52,165810,14,2,5,5,0.413,170955,0.75,20,0.035,227940,0.07200000000000001,219.5409588
59,6,2,2,27,180690,14,6,5,6,0.386,156259,0.75,35,0.015,208345,0.032,226.311981
60,6,2,1,28,62002,4,3,1,6,0.502,207015,1.0,35,0.015,207015,0.12300000000000001,268.71669810000003
61,2,2,2,42,69440,8,2,6,5,0.503,319434,0.7,20,0.015,456334,0.266,232.22840010000002
62,2,2,2,38,97034,13,2,6,6,0.48200000000000004,307952,0.65,25,0.025,473772,0.171,224.4307692
63,6,2,2,28,80808,5,2,3,6,0.485,52584,0.65,40,0.0535,80898,0.04,210.76404080000003
64,1,2,2,45,131728,6,1,1,5,0.41700000000000004,298099,0.55,35,0.025,541998,0.09699999999999999,161.86330890000002
65,4,2,1,28,123981,3,3,1,5,0.344,290093,0.93,35,0.0535,311928,0.14800000000000002,228.3790147
66,1,2,2,34,76619,4,3,1,5,0.46299999999999997,159059,0.75,25,0.0535,212079,0.151,228.8969661
67,1,1,2,26,81441,11,2,5,6,0.418,302135,0.7,20,0.025,431621,0.23600000000000002,217.9712562
68,1,1,2,55,137404,3,6,5,6,0.365,405202,0.93,25,0.015,435701,0.142,233.76317319999998
69,2,2,2,36,158167,3,1,5,6,0.33399999999999996,199514,0.7,20,0.035,285020,0.08800000000000001,177.6038927
70,2,1,2,32,68236,3,6,4,6,0.418,211535,0.93,20,0.0535,227457,0.253,233.95569019999996
71,6,1,2,43,156888,12,6,5,5,0.31,233685,0.6,25,0.05,389475,0.10400000000000001,192.92155309999998
72,6,2,1,31,45477,12,4,2,6,0.465,70484,0.85,40,0.05,82922,0.09,248.6634194
73,6,1,2,28,181948,10,1,3,4,0.376,151310,0.65,30,0.025,232785,0.039,198.64561980000002
74,2,1,2,33,126426,7,1,5,5,0.371,196800,0.93,20,0.035,211613,0.10800000000000001,207.8682666
75,5,2,2,33,115798,14,1,5,5,0.397,115385,0.85,25,0.0535,135747,0.07200000000000001,197.7482238
76,2,1,2,33,158425,14,1,5,4,0.35,291193,0.75,20,0.0535,388257,0.15,183.96419780000002
77,1,1,1,25,95970,6,1,3,6,0.489,253123,0.85,35,0.035,297792,0.131,242.9558079
78,1,1,2,40,170241,10,1,5,4,0.35,434862,0.75,25,0.015,579816,0.12300000000000001,165.6847499
79,6,2,2,41,136543,11,1,3,5,0.452,176032,0.55,30,0.0535,320058,0.086,171.10771069999998
80,3,1,2,33,182651,7,1,5,5,0.369,214741,0.93,25,0.025,230904,0.063,203.5089969
81,2,1,1,27,75573,2,3,1,7,0.44,178377,0.75,25,0.0535,237836,0.171,241.2770909
82,3,1,2,28,144289,10,6,5,3,0.34600000000000003,209688,1.0,25,0.0535,209688,0.106,228.9793633
83,6,2,2,35,154976,5,1,5,6,0.309,227196,0.65,35,0.0535,349532,0.09300000000000001,177.2338989
84,4,2,2,49,161352,14,5,5,2,0.342,52736,0.85,25,0.0535,62042,0.024,206.2984878
85,2,2,2,34,52918,14,2,2,1,0.397,176996,0.93,20,0.0535,190318,0.273,242.6163696
86,1,2,2,33,159501,1,1,5,4,0.34700000000000003,55619,1.0,35,0.045,55619,0.02,212.67681140000002
87,5,1,2,33,58026,3,6,1,6,0.45799999999999996,102873,0.6,25,0.0535,171455,0.129,233.0099256
88,6,1,1,31,44824,9,4,2,5,0.526,161631,1.0,35,0.015,161631,0.133,267.2015949
89,6,2,2,49,81307,7,2,6,4,0.429,123225,0.75,30,0.015,164300,0.063,230.25650719999996
90,6,1,2,28,93578,8,1,5,5,0.423,143702,0.7,35,0.045,205289,0.087,231.13993100000002
91,6,2,2,33,151607,12,6,5,5,0.39799999999999996,273223,0.45,35,0.015,607162,0.066,211.154732
