,Location,NewHome,FTB,Income,EmpSector,Occ,HouseComp,Education,Exp:Inc,LoanValue,LTV,LoanTerm,Interest,HouseVal,MRTI,Label,age
0,2,1,1,76655,2,4,5,4,0.43799999999999994,157718,0.85,25,0.0535,185551,0.149,0,0
1,1,1,1,82307,3,2,2,4,0.473,200820,0.93,25,0.0535,215935,0.177,0,1
2,2,2,1,83372,1,4,3,6,0.515,282300,1.0,30,0.035,282300,0.182,0,0
3,6,1,1,106356,3,2,6,5,0.43799999999999994,154338,1.0,35,0.035,154338,0.07200000000000001,0,1
4,2,1,2,54021,7,2,1,6,0.495,208120,0.6,20,0.015,346867,0.223,0,1
5,1,2,1,149763,10,1,3,3,0.447,262123,0.85,35,0.035,308380,0.087,0,1
6,1,1,2,105179,11,6,1,4,0.397,107494,0.55,20,0.0535,195444,0.083,1,1
7,6,1,2,138763,10,1,2,4,0.41200000000000003,154355,0.93,25,0.015,165973,0.053,0,1
8,1,2,2,151002,2,2,3,6,0.4,327691,0.65,30,0.045,504140,0.132,1,1
9,2,2,2,111150,9,6,5,3,0.41200000000000003,333658,1.0,25,0.0535,333658,0.218,0,1
10,1,2,2,164455,13,1,6,6,0.355,282443,1.0,35,0.015,282443,0.063,0,1
11,2,2,2,68484,13,2,1,6,0.45799999999999996,155510,0.93,20,0.0535,167215,0.185,0,1
12,4,1,2,152507,6,1,3,4,0.364,387341,0.7,25,0.0535,553344,0.184,1,1
13,6,1,1,85369,12,3,4,6,0.447,166166,0.85,35,0.015,195489,0.07200000000000001,0,0
14,6,1,1,129447,13,2,5,4,0.395,156876,0.85,35,0.05,184560,0.073,0,0
15,1,1,2,76649,7,1,1,5,0.45299999999999996,150424,1.0,20,0.0535,150424,0.16,0,1
16,1,2,2,65596,10,1,5,5,0.41600000000000004,397427,0.65,30,0.015,611426,0.251,0,1
17,3,1,2,95067,11,2,3,6,0.447,239902,0.85,25,0.0535,282238,0.183,0,0
18,1,2,2,139054,8,1,5,6,0.373,314279,0.93,35,0.0535,337934,0.14300000000000002,0,0
19,6,2,2,104634,8,1,6,4,0.44299999999999995,101481,0.75,35,0.0535,135308,0.061,0,1
20,6,1,2,143083,13,1,1,6,0.40399999999999997,406347,0.93,25,0.05,436932,0.19899999999999998,0,1
21,6,1,1,112565,7,2,5,5,0.364,156529,0.93,35,0.0535,168311,0.08800000000000001,0,0
22,6,1,2,114346,12,3,3,1,0.48700000000000004,62748,0.7,25,0.0535,89640,0.04,0,1
23,1,2,2,50926,10,2,3,4,0.524,270083,0.6,25,0.0535,450138,0.385,0,0
24,6,2,1,124952,1,3,1,6,0.42,228601,0.93,40,0.0535,245808,0.111,0,0
25,6,2,2,184680,6,1,4,6,0.36200000000000004,276183,0.7,30,0.025,394547,0.071,1,1
26,6,2,2,113609,12,4,5,6,0.35200000000000004,293840,0.65,35,0.035,452062,0.128,0,1
27,6,2,1,134700,5,2,3,5,0.423,224969,1.0,35,0.015,224969,0.061,0,1
28,3,1,2,179058,10,1,5,3,0.36700000000000005,136547,0.6,25,0.015,227578,0.037000000000000005,1,1
29,6,2,2,153665,10,1,5,6,0.312,231639,0.75,30,0.025,308852,0.071,1,1
30,1,2,1,109754,3,3,1,5,0.413,166861,0.93,40,0.025,179420,0.06,0,0
31,2,2,2,148936,10,1,1,6,0.35200000000000004,360972,0.85,25,0.0535,424673,0.17600000000000002,0,0
32,6,1,2,172277,1,5,5,6,0.376,694416,0.45,25,0.0535,1543147,0.293,0,1
33,6,1,1,85521,3,1,5,5,0.40399999999999997,134234,0.75,35,0.025,178979,0.067,0,0
34,6,2,1,116672,2,3,4,5,0.392,197409,0.975,35,0.0535,202471,0.107,0,0
35,4,2,2,91081,11,2,3,5,0.45899999999999996,192633,0.75,25,0.015,256844,0.10099999999999999,0,1
36,1,1,2,77359,10,2,5,5,0.455,415705,0.93,20,0.035,446995,0.374,0,1
37,1,2,2,146483,6,1,6,6,0.428,235351,0.65,35,0.015,362078,0.059000000000000004,1,1
38,6,2,2,150162,7,2,6,6,0.332,193422,0.65,35,0.0535,297572,0.08199999999999999,1,1
39,1,1,2,91693,12,3,3,4,0.479,386125,0.85,25,0.0535,454265,0.306,0,1
40,2,1,2,171895,9,1,4,6,0.375,155175,0.93,20,0.0535,166855,0.07400000000000001,1,0
41,2,1,2,60084,7,2,5,5,0.44,100291,0.7,20,0.035,143273,0.11599999999999999,0,1
42,6,2,2,192601,8,1,3,4,0.425,201428,0.65,30,0.0535,309889,0.07,1,1
43,1,1,2,92535,8,2,5,5,0.433,683670,0.975,20,0.0535,701200,0.602,0,1
44,6,2,1,61779,12,3,3,6,0.523,167773,0.85,35,0.025,197380,0.11699999999999999,0,1
45,6,1,2,167984,10,1,1,6,0.358,416482,0.65,30,0.05,640742,0.16,1,1
46,1,2,1,97817,8,3,4,6,0.439,561204,0.7,35,0.015,801720,0.21100000000000002,0,0
47,6,2,2,156051,1,5,6,5,0.348,160806,0.93,30,0.035,172910,0.055999999999999994,0,1
48,6,2,1,171905,11,2,5,6,0.308,120643,0.93,35,0.035,129724,0.035,1,0
49,1,2,1,112881,5,4,5,5,0.408,348133,0.93,35,0.0535,374337,0.195,0,1
50,3,2,2,90209,14,2,5,5,0.452,142183,0.93,25,0.0535,152885,0.114,0,1
51,1,1,1,103318,5,2,1,6,0.401,276701,0.93,35,0.035,297528,0.133,0,0
52,3,2,2,163095,7,2,6,6,0.381,288205,0.65,30,0.0535,443392,0.11800000000000001,1,0
53,3,2,1,62196,12,4,1,6,0.48100000000000004,215665,0.6,30,0.0535,359442,0.23199999999999998,0,0
54,6,2,1,66672,14,4,5,6,0.452,114042,0.85,35,0.0535,134167,0.10800000000000001,0,0
55,1,1,2,152069,11,1,3,2,0.386,373808,0.975,25,0.015,383393,0.11800000000000001,0,0
56,1,1,2,137450,13,1,5,1,0.414,274956,0.93,20,0.035,295652,0.139,0,0
57,6,2,2,125503,13,6,5,4,0.374,128359,0.85,25,0.015,151011,0.049,0,1
58,2,1,2,165810,14,2,5,5,0.413,170955,0.75,20,0.035,227940,0.07200000000000001,0,1
59,6,2,2,180690,14,6,5,6,0.386,156259,0.75,35,0.015,208345,0.032,0,0
60,6,2,1,62002,4,3,1,6,0.502,207015,1.0,35,0.015,207015,0.12300000000000001,0,0
61,2,2,2,69440,8,2,6,5,0.503,319434,0.7,20,0.015,456334,0.266,0,1
